0,1,2,3,4,5,6,7,8
BusStop_No,Bus_No,Predict_Arrive,Date,hour,min,sec,stop hour,stop min
5147,138-1,8분,2020-06-03,17,12,54,17,20
5148,138-1,8분,2020-06-03,17,12,56,17,20
5149,138-1,9분,2020-06-03,17,12,58,17,21
5150,138-1,10분,2020-06-03,17,12,59,17,22
5152,138-1,11분,2020-06-03,17,13,1,17,24
5158,138-1,1분,2020-06-03,17,13,4,17,14
5193,138-1,3분,2020-06-03,17,13,6,17,16
5321,138-1,6분,2020-06-03,17,13,7,17,19
5277,138-1,8분,2020-06-03,17,13,9,17,21
5253,138-1,10분,2020-06-03,17,13,11,17,23
5257,138-1,11분,2020-06-03,17,13,12,17,24
5259,138-1,12분,2020-06-03,17,13,14,17,25
7034,138-1,2분,2020-06-03,17,13,15,17,15
7168,138-1,2분,2020-06-03,17,13,17,17,15
7035,138-1,4분,2020-06-03,17,13,18,17,17
7067,138-1,6분,2020-06-03,17,13,20,17,19
7043,138-1,6분,2020-06-03,17,13,21,17,19
5356,138-1,9분,2020-06-03,17,13,23,17,22
5357,138-1,10분,2020-06-03,17,13,24,17,23
5358,138-1,13분,2020-06-03,17,13,26,17,26
5190,138-1,5분,2020-06-03,17,13,28,17,18
5192,138-1,7분,2020-06-03,17,13,29,17,20
5340,138-1,9분,2020-06-03,17,13,31,17,22
5155,138-1,10분,2020-06-03,17,13,32,17,23
5153,138-1,12분,2020-06-03,17,13,34,17,25
5292,138-1,13분,2020-06-03,17,13,35,17,26
5101,138-1,14분,2020-06-03,17,13,37,17,27
5102,138-1,15분,2020-06-03,17,13,38,17,28
5103,138-1,17분,2020-06-03,17,13,40,17,30
5104,138-1,17분,2020-06-03,17,13,42,17,30
5108,138-1,18분,2020-06-03,17,13,43,17,31
5110,138-1,20분,2020-06-03,17,13,45,17,33
15111,138-1,20분,2020-06-03,17,13,46,17,33
15117,138-1,22분,2020-06-03,17,13,48,17,35
15121,138-1,24분,2020-06-03,17,13,50,17,37
15283,138-1,24분,2020-06-03,17,13,51,17,37
15098,138-1,25분,2020-06-03,17,13,53,17,38
15081,138-1,26분,2020-06-03,17,13,54,17,39
15073,138-1,5분,2020-06-03,17,13,58,17,18
15069,138-1,8분,2020-06-03,17,13,59,17,21
15085,138-1,10분,2020-06-03,17,14,1,17,24
15143,138-1,12분,2020-06-03,17,14,2,17,26
15072,138-1,6분,2020-06-03,17,14,4,17,20
15255,138-1,8분,2020-06-03,17,14,5,17,22
15082,138-1,8분,2020-06-03,17,14,7,17,22
15097,138-1,10분,2020-06-03,17,14,9,17,24
15284,138-1,11분,2020-06-03,17,14,10,17,25
15122,138-1,12분,2020-06-03,17,14,12,17,26
15118,138-1,2분,2020-06-03,17,14,13,17,16
15115,138-1,3분,2020-06-03,17,14,15,17,17
15113,138-1,5분,2020-06-03,17,14,16,17,19
5112,138-1,6분,2020-06-03,17,14,18,17,20
5146,138-1,7분,2020-06-03,17,14,20,17,21
5147,138-1,8분,2020-06-03,17,14,21,17,22
5148,138-1,8분,2020-06-03,17,14,23,17,22
5149,138-1,9분,2020-06-03,17,14,24,17,23
5150,138-1,10분,2020-06-03,17,14,26,17,24
5152,138-1,11분,2020-06-03,17,14,27,17,25
5154,138-1,12분,2020-06-03,17,14,29,17,26
5158,138-1,14분,2020-06-03,17,14,30,17,28
5193,138-1,16분,2020-06-03,17,14,32,17,30
5321,138-1,19분,2020-06-03,17,14,34,17,33
5277,138-1,21분,2020-06-03,17,14,35,17,35
5253,138-1,22분,2020-06-03,17,14,37,17,36
5257,138-1,23분,2020-06-03,17,14,38,17,37
5259,138-1,24분,2020-06-03,17,14,40,17,38
7034,138-1,2분,2020-06-03,17,14,41,17,16
7168,138-1,2분,2020-06-03,17,14,43,17,16
7035,138-1,4분,2020-06-03,17,14,44,17,18
7067,138-1,5분,2020-06-03,17,14,46,17,19
7043,138-1,5분,2020-06-03,17,14,47,17,19
5356,138-1,8분,2020-06-03,17,14,49,17,22
